fips_tract,city,state_abbr,NAME,total_population,poverty_rate,median_hh_income,pct_black,pct_no_internet,vacancy_rate,food_desert_proxy,food_desert_source,pct_diabetes,pct_high_bp,pct_obesity,pct_food_insecure,health_source,d4_health_imputed,fdi_score,pull_date,source
28049002200,Jackson,MS,Census Tract 22; Hinds County; Mississippi,2124,43.336483931947065,31117.0,89.73634651600754,10.546378653113088,27.86434463794684,1,ACS_poverty_proxy,24.3,57.1,51.4,42.7,CDC_PLACES_2023_tract,False,55.34,2026-04-17,Census ACS 5-Year 2023
28049002300,Jackson,MS,Census Tract 23; Hinds County; Mississippi,2421,27.591904171829825,37500.0,95.49772821148284,9.126984126984128,19.101123595505616,1,ACS_poverty_proxy,17.2,47.7,47.7,35.8,CDC_PLACES_2023_tract,False,47.19,2026-04-17,Census ACS 5-Year 2023
28049002400,Jackson,MS,Census Tract 24; Hinds County; Mississippi,3757,45.38195368645196,27079.0,98.4562150652116,16.319018404907975,22.1585482330468,1,ACS_poverty_proxy,27.8,61.0,53.5,47.2,CDC_PLACES_2023_tract,False,57.12,2026-04-17,Census ACS 5-Year 2023
28049002500,Jackson,MS,Census Tract 25; Hinds County; Mississippi,2004,37.4251497005988,27750.0,93.7624750499002,7.244897959183673,26.75635276532137,1,ACS_poverty_proxy,22.9,55.6,49.9,38.4,CDC_PLACES_2023_tract,False,53.08,2026-04-17,Census ACS 5-Year 2023
28049002700,Jackson,MS,Census Tract 27; Hinds County; Mississippi,1070,21.9435736677116,74875.0,79.06542056074767,0.0,19.351464435146443,0,ACS_poverty_proxy,12.5,40.5,40.0,18.6,CDC_PLACES_2023_tract,False,28.02,2026-04-17,Census ACS 5-Year 2023
28049003000,Jackson,MS,Census Tract 30; Hinds County; Mississippi,1499,44.122257053291534,33047.0,85.85723815877252,14.700544464609798,30.16476552598225,1,ACS_poverty_proxy,24.4,56.2,53.0,49.4,CDC_PLACES_2023_tract,False,56.79,2026-04-17,Census ACS 5-Year 2023
28049003200,Jackson,MS,Census Tract 32; Hinds County; Mississippi,946,23.181049069373945,40365.0,95.03171247357294,11.886304909560724,23.81889763779528,1,ACS_poverty_proxy,15.5,42.3,41.7,29.0,CDC_PLACES_2023_tract,False,46.99,2026-04-17,Census ACS 5-Year 2023
28049003300,Jackson,MS,Census Tract 33; Hinds County; Mississippi,5539,50.57908070937387,29970.0,92.61599566708792,12.291666666666666,22.54941508672852,1,ACS_poverty_proxy,22.1,53.4,54.0,52.4,CDC_PLACES_2023_tract,False,54.83,2026-04-17,Census ACS 5-Year 2023
28049003400,Jackson,MS,Census Tract 34; Hinds County; Mississippi,2477,44.529672991522,31904.0,87.60597496972143,0.6696428571428571,20.91791703442189,1,ACS_poverty_proxy,19.1,50.1,50.6,44.4,CDC_PLACES_2023_tract,False,49.48,2026-04-17,Census ACS 5-Year 2023
28049003500,Jackson,MS,Census Tract 35; Hinds County; Mississippi,2573,37.93248945147679,36959.0,97.51263116984066,2.8380634390651087,31.815594763801936,1,ACS_poverty_proxy,15.9,45.8,49.5,38.5,CDC_PLACES_2023_tract,False,50.07,2026-04-17,Census ACS 5-Year 2023
28049003600,Jackson,MS,Census Tract 36; Hinds County; Mississippi,2933,24.2072962836686,51742.0,85.74838049778384,1.771479185119575,21.86851211072664,1,ACS_poverty_proxy,18.3,49.3,50.6,46.1,CDC_PLACES_2023_tract,False,44.9,2026-04-17,Census ACS 5-Year 2023
28049003700,Jackson,MS,Census Tract 37; Hinds County; Mississippi,2237,35.58537714021286,40588.0,87.08091193562807,12.318840579710146,25.405405405405407,1,ACS_poverty_proxy,19.3,50.6,50.6,44.3,CDC_PLACES_2023_tract,False,51.41,2026-04-17,Census ACS 5-Year 2023
28049003800,Jackson,MS,Census Tract 38; Hinds County; Mississippi,2051,34.42223305704534,29046.0,70.20965382740127,9.041980624327234,29.78080120937264,1,ACS_poverty_proxy,21.4,52.0,53.2,52.1,CDC_PLACES_2023_tract,False,52.88,2026-04-17,Census ACS 5-Year 2023
28049010102,Jackson,MS,Census Tract 101.02; Hinds County; Mississippi,5055,16.85459940652819,63137.0,84.45103857566765,1.11731843575419,11.386138613861387,0,ACS_poverty_proxy,14.0,43.9,42.7,24.0,CDC_PLACES_2023_tract,False,27.09,2026-04-17,Census ACS 5-Year 2023
28049010103,Jackson,MS,Census Tract 101.03; Hinds County; Mississippi,4574,26.43200699606471,45911.0,81.63533012680368,1.2425218591808558,8.88888888888889,1,ACS_poverty_proxy,12.7,41.5,43.8,26.3,CDC_PLACES_2023_tract,False,40.3,2026-04-17,Census ACS 5-Year 2023
28049010104,Jackson,MS,Census Tract 101.04; Hinds County; Mississippi,1782,13.692480359147025,75481.0,47.8675645342312,6.331877729257641,16.878402903811253,0,ACS_poverty_proxy,13.1,44.0,35.5,13.7,CDC_PLACES_2023_tract,False,28.17,2026-04-17,Census ACS 5-Year 2023
28049010201,Jackson,MS,Census Tract 102.01; Hinds County; Mississippi,2651,32.51603168615617,27361.0,85.06224066390041,16.877637130801688,23.69607211848036,1,ACS_poverty_proxy,20.0,51.1,50.3,43.1,CDC_PLACES_2023_tract,False,52.73,2026-04-17,Census ACS 5-Year 2023
